Unnamed: 0,household_id,state_code_str,zip_code,county_str,rating_area
129,600,ME,04072,YORK_COUNTY_ME,1.0
130,613,ME,04007,YORK_COUNTY_ME,
131,618,ME,04074,CUMBERLAND_COUNTY_ME,1.0
131,618,ME,04074,CUMBERLAND_COUNTY_ME,1.0
132,630,ME,04270,OXFORD_COUNTY_ME,3.0
132,630,ME,04270,OXFORD_COUNTY_ME,2.0
133,683,ME,04402,PENOBSCOT_COUNTY_ME,3.0
134,685,ME,04038,CUMBERLAND_COUNTY_ME,1.0
134,685,ME,04038,CUMBERLAND_COUNTY_ME,1.0
135,691,ME,03907,YORK_COUNTY_ME,1.0
136,715,ME,04974,WALDO_COUNTY_ME,3.0
137,731,ME,04630,WASHINGTON_COUNTY_ME,4.0
138,732,ME,03901,YORK_COUNTY_ME,1.0
139,738,ME,04105,CUMBERLAND_COUNTY_ME,1.0
140,749,ME,04982,FRANKLIN_COUNTY_ME,3.0
141,768,ME,04544,LINCOLN_COUNTY_ME,2.0
142,778,ME,04479,PISCATAQUIS_COUNTY_ME,3.0
142,778,ME,04479,PISCATAQUIS_COUNTY_ME,3.0
143,796,ME,04093,YORK_COUNTY_ME,1.0
144,799,ME,04786,AROOSTOOK_COUNTY_ME,4.0
145,812,ME,04287,SAGADAHOC_COUNTY_ME,2.0
145,812,ME,04287,SAGADAHOC_COUNTY_ME,1.0
146,813,ME,04487,PENOBSCOT_COUNTY_ME,4.0
146,813,ME,04487,PENOBSCOT_COUNTY_ME,3.0
147,322,ME,04280,ANDROSCOGGIN_COUNTY_ME,3.0
148,339,ME,04605,HANCOCK_COUNTY_ME,4.0
149,379,ME,04675,HANCOCK_COUNTY_ME,4.0
150,390,ME,04212,ANDROSCOGGIN_COUNTY_ME,3.0
151,391,ME,04070,CUMBERLAND_COUNTY_ME,1.0
152,402,ME,04572,LINCOLN_COUNTY_ME,2.0
152,402,ME,04572,LINCOLN_COUNTY_ME,2.0
153,407,ME,04344,KENNEBEC_COUNTY_ME,2.0
154,413,ME,04072,YORK_COUNTY_ME,1.0
155,419,ME,04416,HANCOCK_COUNTY_ME,4.0
156,421,ME,04330,KENNEBEC_COUNTY_ME,2.0
157,426,ME,04222,ANDROSCOGGIN_COUNTY_ME,3.0
157,426,ME,04222,ANDROSCOGGIN_COUNTY_ME,1.0
158,442,ME,04763,AROOSTOOK_COUNTY_ME,4.0
159,444,ME,04468,PENOBSCOT_COUNTY_ME,3.0
160,445,ME,04055,CUMBERLAND_COUNTY_ME,1.0
161,464,ME,04987,WALDO_COUNTY_ME,3.0
162,465,ME,04756,AROOSTOOK_COUNTY_ME,4.0
163,468,ME,04928,PENOBSCOT_COUNTY_ME,3.0
163,468,ME,04928,PENOBSCOT_COUNTY_ME,3.0
164,505,ME,04008,SAGADAHOC_COUNTY_ME,1.0
165,544,ME,04786,AROOSTOOK_COUNTY_ME,4.0
166,565,ME,04241,ANDROSCOGGIN_COUNTY_ME,3.0
167,686,ME,04922,WALDO_COUNTY_ME,3.0
168,706,ME,04106,CUMBERLAND_COUNTY_ME,1.0
169,727,ME,04256,ANDROSCOGGIN_COUNTY_ME,3.0
170,753,ME,04472,HANCOCK_COUNTY_ME,4.0
171,757,ME,04938,FRANKLIN_COUNTY_ME,3.0
171,757,ME,04938,FRANKLIN_COUNTY_ME,3.0
172,758,ME,04096,CUMBERLAND_COUNTY_ME,1.0
173,766,ME,04048,YORK_COUNTY_ME,1.0
174,773,ME,04938,FRANKLIN_COUNTY_ME,3.0
174,773,ME,04938,FRANKLIN_COUNTY_ME,3.0
175,777,ME,04039,CUMBERLAND_COUNTY_ME,1.0
176,792,ME,04073,YORK_COUNTY_ME,1.0
177,8,ME,04411,PENOBSCOT_COUNTY_ME,3.0
178,19,ME,04096,CUMBERLAND_COUNTY_ME,1.0
179,20,ME,04901,KENNEBEC_COUNTY_ME,2.0
180,36,ME,04029,CUMBERLAND_COUNTY_ME,1.0
180,36,ME,04029,CUMBERLAND_COUNTY_ME,2.0
181,75,ME,04850,WALDO_COUNTY_ME,3.0
182,80,ME,04073,YORK_COUNTY_ME,1.0
183,99,ME,04011,CUMBERLAND_COUNTY_ME,1.0
184,138,ME,04062,CUMBERLAND_COUNTY_ME,1.0
