state,rating_area,zip_code
MI,16.0,49826
MN,1.0,55963
MN,2.0,55720
MN,3.0,56068
MN,4.0,56030
MN,5.0,56236
MN,6.0,56511
MN,7.0,56469
MN,8.0,55038
MN,9.0,56634
MO,1.0,64430
MO,2.0,63501
MO,3.0,64701
MO,4.0,64752
MO,5.0,63345
MO,6.0,63077
MO,7.0,64748
MO,8.0,65605
MO,9.0,63937
MO,10.0,63787
MS,1.0,38611
MS,2.0,38642
MS,3.0,39059
MS,4.0,39403
MS,5.0,39573
MS,6.0,39121
MT,1.0,59070
MT,2.0,59644
MT,3.0,59912
MT,4.0,59736
NC,1.0,28622
NC,2.0,28678
NC,3.0,28623
NC,4.0,28135
NC,5.0,28040
NC,6.0,27265
NC,7.0,27284
NC,8.0,27229
NC,9.0,28382
NC,10.0,27565
NC,11.0,27253
NC,12.0,27967
NC,13.0,27816
NC,14.0,27829
NC,15.0,28420
NC,16.0,27860
ND,1.0,58501
ND,2.0,58078
ND,3.0,58203
ND,4.0,58562
NE,1.0,68038
NE,2.0,68314
NE,3.0,68980
NE,4.0,69146
NH,1.0,03226
NJ,1.0,08404
NM,1.0,87176
NM,2.0,87401
NM,3.0,88008
NM,4.0,87507
NM,5.0,87820
NV,1.0,89019
NV,2.0,89523
NV,3.0,89423
NV,4.0,89496
NY,1.0,12183
NY,2.0,14813
NY,3.0,12455
NY,4.0,10452
NY,5.0,14423
NY,6.0,13790
NY,7.0,13733
NY,8.0,11580
OH,1.0,43526
OH,2.0,45801
OH,3.0,43072
OH,4.0,45064
OH,5.0,45697
OH,6.0,44814
OH,7.0,44827
OH,8.0,43341
OH,9.0,43082
OH,10.0,45678
OH,11.0,44010
OH,12.0,44866
OH,13.0,44432
OH,14.0,43804
OH,15.0,44644
OH,16.0,43901
OH,17.0,45778
OK,1.0,74953
OK,2.0,73552
OK,3.0,73036
OK,4.0,74028
OK,5.0,74960
OR,1.0,97034
OR,2.0,97321
OR,3.0,97303
OR,4.0,97756
OR,5.0,97110
OR,6.0,97814
OR,7.0,97436
PA,1.0,16254
PA,2.0,16720
PA,3.0,16926
PA,4.0,15014
PA,5.0,15559
PA,6.0,16829
PA,7.0,17307
PA,8.0,18940
PA,9.0,17011
PR,1.0,00601
RI,1.0,02915
SC,1.0,29649
SC,2.0,29809
SC,3.0,29932
SC,4.0,29626
SC,5.0,29042
SC,6.0,29808
SC,7.0,29902
SC,8.0,29445
SC,9.0,29160
SC,10.0,29413
SC,11.0,29702
SC,12.0,29729
SC,13.0,29728
SC,14.0,29056
SC,15.0,29472
SC,16.0,29161
SC,17.0,29547
SC,18.0,29426
SC,19.0,29860
SC,20.0,29065
SC,21.0,29505
SC,22.0,29442
SC,23.0,29607
SC,24.0,29649
SC,25.0,29944
SC,26.0,29526
SC,27.0,29927
SC,28.0,29032
SC,29.0,29720
SC,30.0,29370
SC,31.0,29104
SC,32.0,29033
SC,33.0,29845
SC,34.0,29519
SC,35.0,29570
SC,36.0,29075
SC,37.0,29678
SC,38.0,29113
SC,39.0,29630
SC,40.0,29036
SC,41.0,29006
SC,42.0,29356
SC,43.0,29128
SC,44.0,29379
SC,45.0,29056
SC,46.0,29710
SD,1.0,57574
SD,2.0,57010
SD,3.0,57386
SD,4.0,57328
TN,1.0,37601
TN,2.0,37710
TN,3.0,37379
TN,4.0,37035
